DATE,HABITAT,TAXA,GENUS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
6/30/2013,Pool,51,Rhyacophila_2,,,,0.0001,,,,,,,,,,,,,,,,,,,
6/30/2013,Pool,51,Rhyacophila_2,,,,0.0001,,,,,,,,,,,,,,,,,,,
6/30/2013,Pool,51,Rhyacophila_2,,,,0.0001,,,,,,,,,,,,,,,,,,,
6/30/2013,Pool,51,Rhyacophila_2,,,,0.0001,,,,,,,,,,,,,,,,,,,
6/30/2013,Riff,51,Rhyacophila_2,,40,,60,20,,,,,,,,,,,,,,,,,,
6/30/2013,Riff,51,Rhyacophila_2,,,,20,,,,,,,,,,,,,,,,,,,
6/30/2013,Riff,51,Rhyacophila_2,,,,60,20,,,,,,,,,,,,,,,,,,
6/30/2013,Riff,51,Rhyacophila_2,,,80,60,60,,,,,,,,,,,,,,,,,,
6/30/2013,Wood,51,Rhyacophila_2,,,,0.0001,,,,,,,,,,,,,,,,,,,
6/30/2013,Wood,51,Rhyacophila_2,,,,0.0001,,,,,,,,,,,,,,,,,,,
6/30/2013,Wood,51,Rhyacophila_2,,,,0.0001,,,,,,,,,,,,,,,,,,,
6/30/2013,Wood,51,Rhyacophila_2,,,,,7,,,,,,,,,,,,,,,,,,
7/27/2013,Pool,51,Rhyacophila_2,,,,,0.0001,,,,,,,,,,,,,,,,,,
7/27/2013,Pool,51,Rhyacophila_2,,,,,0.0001,,,,,,,,,,,,,,,,,,
7/27/2013,Pool,51,Rhyacophila_2,,,,,0.0001,,,,,,,,,,,,,,,,,,
7/27/2013,Pool,51,Rhyacophila_2,,,,,,,20,,,,,,,,,,,,,,,,
7/27/2013,Riff,51,Rhyacophila_2,,,40,40,,,,,,,,,,,,,,,,,,,
7/27/2013,Riff,51,Rhyacophila_2,,,20,20,,,,,,,,,,,,,,,,,,,
7/27/2013,Riff,51,Rhyacophila_2,,,,60,,,,,,,,,,,,,,,,,,,
7/27/2013,Riff,51,Rhyacophila_2,,,,40,,,20,,,,,,,,,,,,,,,,
7/27/2013,Wood,51,Rhyacophila_2,,,,,,49,,,,,,,,,,,,,,,,,
7/27/2013,Wood,51,Rhyacophila_2,,,,,0.0001,,,,,,,,,,,,,,,,,,
7/27/2013,Wood,51,Rhyacophila_2,,,,,0.0001,,,,,,,,,,,,,,,,,,
7/27/2013,Wood,51,Rhyacophila_2,,,,,0.0001,,,,,,,,,,,,,,,,,,
11/6/2013,Pool,51,Rhyacophila_2,,,,,,0.0001,,,,,,,,,,,,,,,,,
11/6/2013,Pool,51,Rhyacophila_2,,,,,20,20,,,,,,,,,,,,,,,,,
11/6/2013,Pool,51,Rhyacophila_2,,,,,,0.0001,,,,,,,,,,,,,,,,,
11/6/2013,Pool,51,Rhyacophila_2,,,,,,0.0001,,,,,,,,,,,,,,,,,
11/6/2013,Riff,51,Rhyacophila_2,,,,,20,,20,,,,,,,,,,,,,,,,
11/6/2013,Riff,51,Rhyacophila_2,,,,,,0.0001,,,,,,,,,,,,,,,,,
11/6/2013,Riff,51,Rhyacophila_2,,,,40,,,,,,,,,,,,,,,,,,,
11/6/2013,Riff,51,Rhyacophila_2,,,,,60,20,,,,,,,,,,,,,,,,,
11/6/2013,Wood,51,Rhyacophila_2,,,,,,0.0001,,,,,,,,,,,,,,,,,
11/6/2013,Wood,51,Rhyacophila_2,,,,,,0.0001,,,,,,,,,,,,,,,,,
11/6/2013,Wood,51,Rhyacophila_2,,,,,,24,,,,,,,,,,,,,,,,,
11/6/2013,Wood,51,Rhyacophila_2,,,,,,0.0001,,,,,,,,,,,,,,,,,
6/30/2013,Pool,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Pool,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Pool,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Pool,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Riff,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Riff,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Riff,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Riff,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Wood,43,Arctopsyche_1,7,34,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Wood,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Wood,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
6/30/2013,Wood,43,Arctopsyche_1,,0.0001,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Pool,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Pool,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Pool,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Pool,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Riff,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Riff,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Riff,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Riff,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Wood,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Wood,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,Wood,43,Arctopsyche_1,,,,,,,,,,,,,,,,,,,,,,,
