TAXA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
23,0.0071,0.050556302,0.159391714,0.359991498,0.677238129,1.134965577,1.75620819,2.563357573,3.578270231,4.822345792,6.316586286,8.081642546,10.13785143,12.50526634,15.2036826,18.25265897,21.67153602,25.479452,29.69535672,34.33802373,39.42606117,44.97792136,51.01190947,57.54619132,64.59880041,72.18764438,80.33051085,89.04507283,98.34889364,108.2594315,118.7940437,129.9699905,141.8044391,154.3144665,167.5170631
24,0.0077,0.046041357,0.131058008,0.275299551,0.489590899,0.783647859,1.16638968,1.646125307,2.230675511,2.927458352,3.743551852,4.68574165,5.760558271,6.974306947,8.333091941,9.842836712,11.50930084,13.33809445,15.33469052,17.50443567,19.85255947,22.38418269,25.10432462,28.01790954,31.12977255,34.44466481,37.96725828,41.70215,45.653866,49.82686491,54.22554121,58.85422825,63.71720106,68.81867888,74.16282757
140,0.0053,0.038880971,0.124738201,0.285232064,0.5417696,0.915083479,1.425386807,2.092471648,2.935777139,3.974439309,5.227329056,6.713081998,8.45012255,10.45668372,12.75082365,15.35043969,18.27328041,21.53695605,25.1589477,29.15661533,33.54720495,38.34785504,43.57560225,49.24738668,55.38005651,61.99037235,69.0950112,76.71056998,84.85356896,93.54045475,102.7876032,112.6113221,123.0278535,134.0533761,145.7040076
80,0.0053,0.038880971,0.124738201,0.285232064,0.5417696,0.915083479,1.425386807,2.092471648,2.935777139,3.974439309,5.227329056,6.713081998,8.45012255,10.45668372,12.75082365,15.35043969,18.27328041,21.53695605,25.1589477,29.15661533,33.54720495,38.34785504,43.57560225,49.24738668,55.38005651,61.99037235,69.0950112,76.71056998,84.85356896,93.54045475,102.7876032,112.6113221,123.0278535,134.0533761,145.7040076
25,0.0053,0.038880971,0.124738201,0.285232064,0.5417696,0.915083479,1.425386807,2.092471648,2.935777139,3.974439309,5.227329056,6.713081998,8.45012255,10.45668372,12.75082365,15.35043969,18.27328041,21.53695605,25.1589477,29.15661533,33.54720495,38.34785504,43.57560225,49.24738668,55.38005651,61.99037235,69.0950112,76.71056998,84.85356896,93.54045475,102.7876032,112.6113221,123.0278535,134.0533761,145.7040076
26,0.0053,0.038880971,0.124738201,0.285232064,0.5417696,0.915083479,1.425386807,2.092471648,2.935777139,3.974439309,5.227329056,6.713081998,8.45012255,10.45668372,12.75082365,15.35043969,18.27328041,21.53695605,25.1589477,29.15661533,33.54720495,38.34785504,43.57560225,49.24738668,55.38005651,61.99037235,69.0950112,76.71056998,84.85356896,93.54045475,102.7876032,112.6113221,123.0278535,134.0533761,145.7040076
27,0.0103,0.065825398,0.194811102,0.420677962,0.764330089,1.245001775,1.880700239,2.688475171,3.684598576,4.884692448,6.303823577,7.956576434,9.857110736,12.01920792,14.45630938,17.18154834,20.20777689,23.54758907,27.21334082,31.21716739,35.57099859,40.28657236,45.37544674,50.84901066,56.71849361,62.99497441,69.68938912,76.81253826,84.3750935,92.38760361,100.8605001,109.8041025,119.2286229,129.1441704,139.5607554
28,0.0103,0.065825398,0.194811102,0.420677962,0.764330089,1.245001775,1.880700239,2.688475171,3.684598576,4.884692448,6.303823577,7.956576434,9.857110736,12.01920792,14.45630938,17.18154834,20.20777689,23.54758907,27.21334082,31.21716739,35.57099859,40.28657236,45.37544674,50.84901066,56.71849361,62.99497441,69.68938912,76.81253826,84.3750935,92.38760361,100.8605001,109.8041025,119.2286229,129.1441704,139.5607554
29,0.0103,0.065825398,0.194811102,0.420677962,0.764330089,1.245001775,1.880700239,2.688475171,3.684598576,4.884692448,6.303823577,7.956576434,9.857110736,12.01920792,14.45630938,17.18154834,20.20777689,23.54758907,27.21334082,31.21716739,35.57099859,40.28657236,45.37544674,50.84901066,56.71849361,62.99497441,69.68938912,76.81253826,84.3750935,92.38760361,100.8605001,109.8041025,119.2286229,129.1441704,139.5607554
30,0.0108,0.072855168,0.222543898,0.491469953,0.908630158,1.501247506,2.29521703,3.315382034,4.585720981,6.129481738,7.969282283,10.12718881,12.62477793,15.48318724,18.72315717,22.36506619,26.42896069,30.93458075,35.90138247,41.34855753,47.29505046,53.75957398,60.76062268,68.31648533,76.445256,85.16484411,94.4929836,104.4472413,115.0450247,126.3035889,138.240043,150.8713567,164.2143652,178.2857749,193.102168
