SITE,DATE,HABITAT,M_HABITAT,M_VALLEY
GC,8/22/2013,Pool,22.13605021,0.885442008
GC,8/22/2013,Pool,44.38334912,1.775333965
GC,8/22/2013,Pool,23.23770323,0.929508129
GC,8/22/2013,Pool,22.48123469,0.899249387
GC,8/22/2013,Riffle,33.9979378,70.57971887
GC,8/22/2013,Riffle,30.27431401,62.84947589
GC,8/22/2013,Riffle,1.732135116,3.5959125
GC,8/22/2013,Riffle,247.476094,513.7603711
GC,8/22/2013,Wood,66.8145983,8.418639386
GC,8/22/2013,Wood,0,0
GC,8/22/2013,Wood,43.14498051,5.436267545
GC,8/22/2013,Wood,54.09811288,6.816362223
NSV-conf,8/27/2013,Pool,1.425035027,0
NSV-conf,8/27/2013,Pool,107.8681914,0
NSV-conf,8/27/2013,Pool,107.1728928,0
NSV-conf,8/27/2013,Pool,13.2275237,0
NSV-conf,8/27/2013,Riffle,48.23015386,112.4988387
NSV-conf,8/27/2013,Riffle,1.222324041,2.851121634
NSV-conf,8/27/2013,Riffle,8.205864261,19.14051949
NSV-conf,8/27/2013,Riffle,7.183003202,16.75465355
NSV-conf,8/27/2013,Wood,16.14539797,0
NSV-conf,8/27/2013,Wood,17.07883469,0
NSV-conf,8/27/2013,Wood,11.07756406,0
NSV-conf,8/27/2013,Wood,3.491768837,0
NSV-high,8/20/2013,Pool,11.10839281,22.89652625
NSV-high,8/20/2013,Pool,5.751819525,11.85560224
NSV-high,8/20/2013,Pool,14.99483197,30.90722209
NSV-high,8/20/2013,Pool,13.46763119,27.75936864
NSV-high,8/20/2013,Riffle,9.076929335,45.48696311
NSV-high,8/20/2013,Riffle,0.965913801,4.84045692
NSV-high,8/20/2013,Riffle,2.859591266,14.33019005
NSV-high,8/20/2013,Riffle,11.28167784,56.53555786
NSV-high,8/20/2013,Wood,0,0
NSV-high,8/20/2013,Wood,0,0
NSV-high,8/20/2013,Wood,2.345716394,1.722458415
NSV-high,8/20/2013,Wood,3.185812567,2.339340629
NSV-low,8/27/2013,Pool,23.01114841,22.33434992
NSV-low,8/27/2013,Pool,6.394504514,6.206430852
NSV-low,8/27/2013,Pool,37.11611645,36.02446596
NSV-low,8/27/2013,Pool,13.45604781,13.0602817
NSV-low,8/27/2013,Riffle,17.79664757,86.19160686
NSV-low,8/27/2013,Riffle,0,0
NSV-low,8/27/2013,Riffle,11.6079115,56.21870864
NSV-low,8/27/2013,Riffle,25.23081088,122.1962802
NSV-low,8/27/2013,Wood,26.43812697,31.49247477
NSV-low,8/27/2013,Wood,16.75950539,19.96352847
NSV-low,8/27/2013,Wood,10.31069983,12.28186303
NSV-low,8/27/2013,Wood,18.25829848,21.74885554
SFP,8/19/2013,Pool,96.77103577,4.618617616
SFP,8/19/2013,Pool,77.74241741,3.710433558
SFP,8/19/2013,Pool,166.7510723,7.958573903
SFP,8/19/2013,Pool,44.23947238,2.111429364
SFP,8/19/2013,Riffle,25.11270512,56.78895817
SFP,8/19/2013,Riffle,108.7890358,246.0115696
SFP,8/19/2013,Riffle,139.7006713,315.9140181
SFP,8/19/2013,Riffle,128.8520045,291.3812375
SFP,8/19/2013,Wood,195.0999488,17.73635898
SFP,8/19/2013,Wood,206.3749515,18.76135923
SFP,8/19/2013,Wood,186.8677992,16.98798174
SFP,8/19/2013,Wood,79.22003518,7.20182138
