Supplemental table S1,,,,,,,,
,,,,,,,,
Site,Ecological response variable,Units,Sum of means,Upper 95% confidence interval,Lower 95% confidence interval,Habitat-specific values,,
,,,,,,Pool,Riffle,Wood
Glacier Creek,Macroinvertebrate biomass,mg dry mass m-2,4141,5113,3291,2175,1529,437
North St. Vrain confine,Macroinvertebrate biomass,mg dry mass m-2,1237,1558,947,----,1237,----
North St. Vrain high,Macroinvertebrate biomass,mg dry mass m-2,4495,5020,3981,2720,1611,165
North St. Vrain low,Macroinvertebrate biomass,mg dry mass m-2,4339,4863,3865,2949,1148,242
South Fork Pourde,Macroinvertebrate biomass,mg dry mass m-2,4280,5273,3442,2707,1174,399
Glacier Creek,Emerging aquatic insects,mg dry mass m-2 hr-1,10,13,7,3,7,----
North St. Vrain confine,Emerging aquatic insects,mg dry mass m-2 hr-1,3,4,2,----,3,----
North St. Vrain high,Emerging aquatic insects,mg dry mass m-2 hr-1,4,5,2,1,2,----
North St. Vrain low,Emerging aquatic insects,mg dry mass m-2 hr-1,8,12,4,4,4,----
South Fork Pourde,Emerging aquatic insects,mg dry mass m-2 hr-1,7,10,4,3,4,----
Glacier Creek,Organic matter,g ash free dry mass m-2,1810,2833,897,1728,82,----
North St. Vrain confine,Organic matter,g ash free dry mass m-2,99,158,51,----,99,----
North St. Vrain high,Organic matter,g ash free dry mass m-2,3336,4534,2208,3170,165,----
North St. Vrain low,Organic matter,g ash free dry mass m-2,1603,2332,972,1554,50,----
South Fork Pourde,Organic matter,g ash free dry mass m-2,1818,2393,1239,1734,84,----
Glacier Creek,Macroinvertebrate secondary production,mg dry mass m-2 d-1,102,127,80,63,27,13
North St. Vrain confine,Macroinvertebrate secondary production,mg dry mass m-2 d-1,28,36,23,----,28,----
North St. Vrain high,Macroinvertebrate secondary production,mg dry mass m-2 d-1,137,163,112,91,41,5
North St. Vrain low,Macroinvertebrate secondary production,mg dry mass m-2 d-1,86,101,73,59,24,3
South Fork Pourde,Macroinvertebrate secondary production,mg dry mass m-2 d-1,148,221,92,112,24,12
Glacier Creek,Riparian spider biomass,mg dry mass m-1 stream bank,148,265,71,28,79,41
North St. Vrain confine,Riparian spider biomass,mg dry mass m-1 stream bank,16,38,3,----,16,----
North St. Vrain high,Riparian spider biomass,mg dry mass m-1 stream bank,19,24,13,11,6,1
North St. Vrain low,Riparian spider biomass,mg dry mass m-1 stream bank,52,67,37,20,14,18
South Fork Pourde,Riparian spider biomass,mg dry mass m-1 stream bank,364,440,285,96,100,167
