Supplemental table S2,,,,,,,,,,,
,,,,,,,,,,,
Site,Ecological response variable,Units,Sum of means,Upper 95% confidence interval,Lower 95% confidence interval,Habitat-specific values,,,,,
,,,,,,Pool,Riffle,Wood,,,
Glacier Creek,Emerging aquatic insects,mg dry mass m-1 valley hr-1,47,63,33,0.4,47.1,----,,,
Glacier Creek,Emerging aquatic insects,mg dry mass m-1 stream bank hr-1,21,28,15,0.2,21,----,,,
Glacier Creek,Macroinvertebrate biomass,mg dry mass m-1 valley,10986,14533,8075,282.7,10542.9,160,,,
Glacier Creek,Macroinvertebrate secondary production,mg dry mass m-1 valley d-1,197,258,148,8.1,184.5,4.6,,,
Glacier Creek,Organic matter,g ash free dry mass m-1 valley,791,976,631,224.6,566.2,----,,,
Glacier Creek,Riparian spider biomass,mg dry mass m-1 valley,170,408,28,1.1,163.8,5.1,,,
North St. Vrain confine,Emerging aquatic insects,mg dry mass m-1 valley hr-1,21,30,11,----,20.6,----,,,
North St. Vrain confine,Emerging aquatic insects,mg dry mass m-1 stream bank hr-1,9,13,5,----,8.8,----,,,
North St. Vrain confine,Macroinvertebrate biomass,mg dry mass m-1 valley,8482,10685,6495,----,8482.4,----,,,
North St. Vrain confine,Macroinvertebrate secondary production,mg dry mass m-1 valley d-1,195,244,155,----,195.3,----,,,
North St. Vrain confine,Organic matter,g ash free dry mass m-1 valley,678,1085,352,----,678,----,,,
North St. Vrain confine,Riparian spider biomass,mg dry mass m-1 valley,37,89,6,----,37.1,----,,,
North St. Vrain high,Emerging aquatic insects,mg dry mass m-1 valley hr-1,30,43,18,4.8,24.8,----,,,
North St. Vrain high,Emerging aquatic insects,mg dry mass m-1 stream bank hr-1,4,5,2,0.6,3.2,----,,,
North St. Vrain high,Macroinvertebrate biomass,mg dry mass m-1 valley,31185,34490,28057,11115,16011.3,4058.9,,,
North St. Vrain high,Macroinvertebrate secondary production,mg dry mass m-1 valley d-1,905,1045,765,370.1,411.5,123,,,
North St. Vrain high,Organic matter,g ash free dry mass m-1 valley,14598,19482,9907,12957.3,1640.9,----,,,
North St. Vrain high,Riparian spider biomass,mg dry mass m-1 valley,55,78,32,23.4,30.1,1,,,
North St. Vrain low,Emerging aquatic insects,mg dry mass m-1 valley hr-1,35,63,15,5.4,30.1,----,,,
North St. Vrain low,Emerging aquatic insects,mg dry mass m-1 stream bank hr-1,5,9,2,0.8,4.3,----,,,
North St. Vrain low,Macroinvertebrate biomass,mg dry mass m-1 valley,15664,18108,13456,4379.9,8517,2767.6,,,
North St. Vrain low,Macroinvertebrate secondary production,mg dry mass m-1 valley d-1,298,355,246,87.7,176.7,33.4,,,
North St. Vrain low,Organic matter,g ash free dry mass m-1 valley,2676,3751,1752,2307.7,368.7,----,,,
North St. Vrain low,Riparian spider biomass,mg dry mass m-1 valley,107,149,64,19.6,66.4,21.4,,,
South Fork Pourde,Emerging aquatic insects,mg dry mass m-1 valley hr-1,42,63,26,0.8,40.8,----,,,
South Fork Pourde,Emerging aquatic insects,mg dry mass m-1 stream bank hr-1,17,26,11,0.3,17,----,,,
South Fork Pourde,Macroinvertebrate biomass,mg dry mass m-1 valley,14437,17355,11812,664.5,13593.7,178.8,,,
South Fork Pourde,Macroinvertebrate secondary production,mg dry mass m-1 valley d-1,314,373,258,27.5,281,5.2,,,
South Fork Pourde,Organic matter,g ash free dry mass m-1 valley,1403,1803,1033,425.6,976.9,----,,,
South Fork Pourde,Riparian spider biomass,mg dry mass m-1 valley,246,325,132,4.6,226.4,15.2,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
