Supplemental table S3,,,,,,,,
,,,,,,,,
Site,Habitat,Ecological response variable,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval,,
Glacier Creek,Pool,Macroinvertebrate biomass,mg dry mass m-2,2175,2958,1543,,
Glacier Creek,Riffle,Macroinvertebrate biomass,mg dry mass m-2,1529,2039,1106,,
Glacier Creek,Wood,Macroinvertebrate biomass,mg dry mass m-2,437,778,180,,
Glacier Creek,Pool,Emerging aquatic insects,mg dry mass m-2 hr-1,3,5,2,,
Glacier Creek,Riffle,Emerging aquatic insects,mg dry mass m-2 hr-1,7,9,5,,
Glacier Creek,Pool,Organic matter,g ash free dry mass m-2,1728,2758,818,,
Glacier Creek,Riffle,Organic matter,g ash free dry mass m-2,82,100,67,,
Glacier Creek,Pool,Macroinvertebrate secondary production,mg dry mass m-2 d-1,63,86,43,,
Glacier Creek,Riffle,Macroinvertebrate secondary production,mg dry mass m-2 d-1,27,36,20,,
Glacier Creek,Wood,Macroinvertebrate secondary production,mg dry mass m-2 d-1,13,23,4,,
Glacier Creek,Pool,Riparian spider biomass,mg dry mass m-1 stream bank,28,39,22,,
Glacier Creek,Riffle,Riparian spider biomass,mg dry mass m-1 stream bank,79,193,10,,
Glacier Creek,Wood,Riparian spider biomass,mg dry mass m-1 stream bank,41,61,14,,
North St. Vrain confine,Riffle,Macroinvertebrate biomass,mg dry mass m-2,1237,1558,947,,
North St. Vrain confine,Riffle,Emerging aquatic insects,mg dry mass m-2 hr-1,3,4,2,,
North St. Vrain confine,Riffle,Organic matter,g ash free dry mass m-2,99,158,51,,
North St. Vrain confine,Riffle,Macroinvertebrate secondary production,mg dry mass m-2 d-1,28,36,23,,
North St. Vrain confine,Riffle,Riparian spider biomass,mg dry mass m-1 stream bank,16,38,3,,
North St. Vrain high,Pool,Macroinvertebrate biomass,mg dry mass m-2,2720,3182,2304,,
North St. Vrain high,Riffle,Macroinvertebrate biomass,mg dry mass m-2,1611,1879,1366,,
North St. Vrain high,Wood,Macroinvertebrate biomass,mg dry mass m-2,165,199,130,,
North St. Vrain high,Pool,Emerging aquatic insects,mg dry mass m-2 hr-1,1,2,1,,
North St. Vrain high,Riffle,Emerging aquatic insects,mg dry mass m-2 hr-1,2,4,1,,
North St. Vrain high,Pool,Organic matter,g ash free dry mass m-2,3170,4387,2071,,
North St. Vrain high,Riffle,Organic matter,g ash free dry mass m-2,165,259,88,,
North St. Vrain high,Pool,Macroinvertebrate secondary production,mg dry mass m-2 d-1,91,117,69,,
North St. Vrain high,Riffle,Macroinvertebrate secondary production,mg dry mass m-2 d-1,41,50,34,,
North St. Vrain high,Wood,Macroinvertebrate secondary production,mg dry mass m-2 d-1,5,7,3,,
North St. Vrain high,Pool,Riparian spider biomass,mg dry mass m-1 stream bank,11,14,8,,
North St. Vrain high,Riffle,Riparian spider biomass,mg dry mass m-1 stream bank,6,10,1,,
North St. Vrain high,Wood,Riparian spider biomass,mg dry mass m-1 stream bank,1,3,0,,
North St. Vrain low,Pool,Macroinvertebrate biomass,mg dry mass m-2,2949,3382,2530,,
North St. Vrain low,Riffle,Macroinvertebrate biomass,mg dry mass m-2,1148,1410,927,,
North St. Vrain low,Wood,Macroinvertebrate biomass,mg dry mass m-2,242,388,134,,
North St. Vrain low,Pool,Emerging aquatic insects,mg dry mass m-2 hr-1,4,6,2,,
North St. Vrain low,Riffle,Emerging aquatic insects,mg dry mass m-2 hr-1,4,8,1,,
North St. Vrain low,Pool,Organic matter,g ash free dry mass m-2,1554,2277,920,,
North St. Vrain low,Riffle,Organic matter,g ash free dry mass m-2,50,62,38,,
North St. Vrain low,Pool,Macroinvertebrate secondary production,mg dry mass m-2 d-1,59,72,47,,
North St. Vrain low,Riffle,Macroinvertebrate secondary production,mg dry mass m-2 d-1,24,31,18,,
North St. Vrain low,Wood,Macroinvertebrate secondary production,mg dry mass m-2 d-1,3,4,2,,
North St. Vrain low,Pool,Riparian spider biomass,mg dry mass m-1 stream bank,20,31,10,,
North St. Vrain low,Riffle,Riparian spider biomass,mg dry mass m-1 stream bank,14,22,4,,
North St. Vrain low,Wood,Riparian spider biomass,mg dry mass m-1 stream bank,18,24,12,,
South Fork Pourde,Pool,Macroinvertebrate biomass,mg dry mass m-2,2707,3647,1931,,
South Fork Pourde,Riffle,Macroinvertebrate biomass,mg dry mass m-2,1174,1428,948,,
South Fork Pourde,Wood,Macroinvertebrate biomass,mg dry mass m-2,399,590,252,,
South Fork Pourde,Pool,Emerging aquatic insects,mg dry mass m-2 hr-1,3,6,1,,
South Fork Pourde,Riffle,Emerging aquatic insects,mg dry mass m-2 hr-1,4,5,2,,
South Fork Pourde,Pool,Organic matter,g ash free dry mass m-2,1734,2308,1156,,
South Fork Pourde,Riffle,Organic matter,g ash free dry mass m-2,84,117,57,,
South Fork Pourde,Pool,Macroinvertebrate secondary production,mg dry mass m-2 d-1,112,185,56,,
South Fork Pourde,Riffle,Macroinvertebrate secondary production,mg dry mass m-2 d-1,24,29,19,,
South Fork Pourde,Wood,Macroinvertebrate secondary production,mg dry mass m-2 d-1,12,18,7,,
South Fork Pourde,Pool,Riparian spider biomass,mg dry mass m-1 stream bank,96,144,57,,
South Fork Pourde,Riffle,Riparian spider biomass,mg dry mass m-1 stream bank,100,134,51,,
South Fork Pourde,Wood,Riparian spider biomass,mg dry mass m-1 stream bank,167,201,108,,
