Supplemental table S4,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Arachnida ,N/A,Arachnida ,Glacier Creek,Pool,mg dry mass m-2,0.02,0.03,0.01
Coleoptera,Elmidae,Heterlimnius,Glacier Creek,Pool,mg dry mass m-2,404.89,1013.64,62.59
Coleoptera,N/A,Coleoptera group,Glacier Creek,Pool,mg dry mass m-2,0.95,2.58,0.02
Copepoda,N/A,Harpacticoida/Cyclopoida group,Glacier Creek,Pool,mg dry mass m-2,0.67,1.32,0.12
Diptera,Ceratopogonidae,Ceratopogonidae,Glacier Creek,Pool,mg dry mass m-2,11.77,24.39,2.27
Diptera,Chironomidae,Chironomidae group 1,Glacier Creek,Pool,mg dry mass m-2,21.01,39.41,8.46
Diptera,Chironominae,Chironominae group,Glacier Creek,Pool,mg dry mass m-2,48.34,79.87,19.15
Diptera,Chironominae,Paratendipes,Glacier Creek,Pool,mg dry mass m-2,16.67,48.56,0.24
Diptera,Chironominae,Polypedilum,Glacier Creek,Pool,mg dry mass m-2,74.95,182.35,15.68
Diptera,Chironominae,Stempellinella,Glacier Creek,Pool,mg dry mass m-2,12.7,22.07,6.63
Diptera,Diamesinae,Diamesia,Glacier Creek,Pool,mg dry mass m-2,3.67,11.1,< 0.01
Diptera,Diamesinae,Pagastia,Glacier Creek,Pool,mg dry mass m-2,5.32,8.65,2.1
Diptera,Empidiae,Empididae group,Glacier Creek,Pool,mg dry mass m-2,18.89,34.53,6.03
Diptera,N/A,Diamesinae/Prodiamesinae group,Glacier Creek,Pool,mg dry mass m-2,7.23,13.33,2.19
Diptera,Orthocladinae,Brillia,Glacier Creek,Pool,mg dry mass m-2,10.14,20.2,0.44
Diptera,Orthocladinae,Heterotrissocladius,Glacier Creek,Pool,mg dry mass m-2,19.02,27.19,10.99
Diptera,Orthocladinae,Krenosmittia,Glacier Creek,Pool,mg dry mass m-2,9.65,16,4
Diptera,Orthocladinae,Orthocladinae group,Glacier Creek,Pool,mg dry mass m-2,159.18,213.25,110.4
Diptera,Orthocladinae,Theinemanniella,Glacier Creek,Pool,mg dry mass m-2,15.2,24.67,6.78
Diptera,Simulidae,Simulidae group,Glacier Creek,Pool,mg dry mass m-2,2.56,7.8,< 0.01
