Supplemental table S6,,,,,,,,
,,,,,,,,
Highest classification,Lowest classification,Site,Date,Habitat,Units,Mean,Standard deviation,# replicates
Diptera,Ceratopogonidae,Glacier Creek,3-Jul-2013,Pool,mg dry mass m-2 hr-1,0.02,0.03,4
Diptera,Chironomidae,Glacier Creek,3-Jul-2013,Pool,mg dry mass m-2 hr-1,0.6,0.35,4
Diptera,Empididae,Glacier Creek,3-Jul-2013,Pool,mg dry mass m-2 hr-1,0.01,0.03,4
Diptera,Phoridae,Glacier Creek,3-Jul-2013,Pool,mg dry mass m-2 hr-1,0.03,0.04,4
Diptera,Simuliidae,Glacier Creek,3-Jul-2013,Pool,mg dry mass m-2 hr-1,0.06,0.07,4
Ephemeroptera,Ameletidae,Glacier Creek,3-Jul-2013,Pool,mg dry mass m-2 hr-1,1.63,3.08,4
Ephemeroptera,Baetidae,Glacier Creek,3-Jul-2013,Pool,mg dry mass m-2 hr-1,0.08,0.09,4
Trichoptera,Hydroptilidae,Glacier Creek,3-Jul-2013,Pool,mg dry mass m-2 hr-1,0.01,0.01,4
Coleoptera,Elmidae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.16,0.32,4
Diptera,Chironomidae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.41,0.05,4
Diptera,Empididae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.11,0.2,4
Diptera,Phoridae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.01,4
Diptera,Simuliidae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.15,0.18,4
Ephemeroptera,Ameletidae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.33,0.67,4
Ephemeroptera,Baetidae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.48,0.3,4
Ephemeroptera,Heptageniidae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.57,0.86,4
Plecoptera,Nemouridae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.15,0.3,4
Plecoptera,Perlodidae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.92,1.85,4
Trichoptera,Hydroptilidae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.35,0.25,4
Trichoptera,Philopotamidae,Glacier Creek,3-Jul-2013,Riffle,mg dry mass m-2 hr-1,1.25,0.47,4
Diptera,Brachycera,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,< 0.01,0.01,3
Diptera,Chironomidae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,0.88,0.48,3
Diptera,Empididae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,0.21,0.32,3
Diptera,Phoridae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,< 0.01,0.01,3
Diptera,Simuliidae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,0.01,0.01,3
Ephemeroptera,Ameletidae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,0.37,0.46,3
Ephemeroptera,Baetidae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,0.14,0.08,3
Ephemeroptera,Ephemerellidae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,0.21,0.36,3
Ephemeroptera,Ephemeroptera group,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,0.08,0.13,3
Ephemeroptera,Heptageniidae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,0.42,0.59,3
Trichoptera,Brachycentridae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,1.01,1.62,3
Trichoptera,Hydropsychidae,Glacier Creek,30-Jul-2013,Pool,mg dry mass m-2 hr-1,0.51,0.89,3
