Supplemental table S7,,,,,,,,
,,,,,,,,
Lowest classification,Site,Date,Habitat,Units,Mean,Standard deviation,# replicates,
Araneidae,Glacier Creek,22-Aug-2013,Pool,mg dry mass m-1 stream bank,14.4,16.7,4,
Tetragnathidae,Glacier Creek,22-Aug-2013,Pool,mg dry mass m-1 stream bank,13.6,6.2,4,
Araneidae,Glacier Creek,22-Aug-2013,Riffle,mg dry mass m-1 stream bank,70.7,113.2,4,
Tetragnathidae,Glacier Creek,22-Aug-2013,Riffle,mg dry mass m-1 stream bank,7.7,6.8,4,
Araneidae,Glacier Creek,22-Aug-2013,Wood,mg dry mass m-1 stream bank,31.9,23.5,4,
Tetragnathidae,Glacier Creek,22-Aug-2013,Wood,mg dry mass m-1 stream bank,8.8,10.1,4,
Araneidae,North St. Vrain confine,27-Aug-2013,Pool,mg dry mass m-1 stream bank,49.2,56.8,4,
Tetragnathidae,North St. Vrain confine,27-Aug-2013,Pool,mg dry mass m-1 stream bank,8.2,4.9,4,
Araneidae,North St. Vrain confine,27-Aug-2013,Riffle,mg dry mass m-1 stream bank,7,14,4,
Tetragnathidae,North St. Vrain confine,27-Aug-2013,Riffle,mg dry mass m-1 stream bank,9.2,7.9,4,
Tetragnathidae,North St. Vrain confine,27-Aug-2013,Wood,mg dry mass m-1 stream bank,11.9,6.2,4,
Araneidae,North St. Vrain high,20-Aug-2013,Pool,mg dry mass m-1 stream bank,0.7,1.2,4,
Tetragnathidae,North St. Vrain high,20-Aug-2013,Pool,mg dry mass m-1 stream bank,10.7,4.4,4,
Araneidae,North St. Vrain high,20-Aug-2013,Riffle,mg dry mass m-1 stream bank,2.1,3.7,4,
Tetragnathidae,North St. Vrain high,20-Aug-2013,Riffle,mg dry mass m-1 stream bank,3.9,3,4,
Araneidae,North St. Vrain high,20-Aug-2013,Wood,mg dry mass m-1 stream bank,0.5,0.9,4,
Tetragnathidae,North St. Vrain high,20-Aug-2013,Wood,mg dry mass m-1 stream bank,0.9,1.1,4,
Araneidae,North St. Vrain low,27-Aug-2013,Pool,mg dry mass m-1 stream bank,1.4,2.1,4,
Tetragnathidae,North St. Vrain low,27-Aug-2013,Pool,mg dry mass m-1 stream bank,18.6,11.6,4,
Araneidae,North St. Vrain low,27-Aug-2013,Riffle,mg dry mass m-1 stream bank,1.7,2.7,4,
Tetragnathidae,North St. Vrain low,27-Aug-2013,Riffle,mg dry mass m-1 stream bank,11.9,10.4,4,
Araneidae,North St. Vrain low,27-Aug-2013,Wood,mg dry mass m-1 stream bank,1.4,1.9,4,
Tetragnathidae,North St. Vrain low,27-Aug-2013,Wood,mg dry mass m-1 stream bank,16.6,6.9,4,
Araneidae,South Fork Pourde,19-Aug-2013,Pool,mg dry mass m-1 stream bank,71.8,53.2,4,
Tetragnathidae,South Fork Pourde,19-Aug-2013,Pool,mg dry mass m-1 stream bank,24.5,16.6,4,
Araneidae,South Fork Pourde,19-Aug-2013,Riffle,mg dry mass m-1 stream bank,63.1,33.7,4,
Tetragnathidae,South Fork Pourde,19-Aug-2013,Riffle,mg dry mass m-1 stream bank,37.5,21,4,
Araneidae,South Fork Pourde,19-Aug-2013,Wood,mg dry mass m-1 stream bank,126.7,55.9,4,
Tetragnathidae,South Fork Pourde,19-Aug-2013,Wood,mg dry mass m-1 stream bank,40.1,20.8,4,
